ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
16568	-69.275	4.375	Orinoquia oriental	VICHADA	CUMARIBO	70.1	49.8	20.6	43.4	31.1	34.2
16569	-69.225	4.375	Orinoquia oriental	VICHADA	CUMARIBO	70	53.1	22.6	53.1	31.8	26.4
16570	-69.175	4.375	Orinoquia oriental	VICHADA	CUMARIBO	73	51.4	23.1	50.6	33.1	27.2
16571	-69.125	4.375	Orinoquia oriental	VICHADA	CUMARIBO	72.5	54.2	23.2	49.7	34.5	28.4
16572	-69.075	4.375	Orinoquia oriental	VICHADA	CUMARIBO	77.8	57	23.1	43.4	41	27.3
16573	-69.025	4.375	Orinoquia oriental	VICHADA	CUMARIBO	81.3	55	25.5	44.4	38.6	41.5
16574	-68.975	4.375	Orinoquia oriental	VICHADA	CUMARIBO	80.6	54	24.1	41	32.7	40.2
16575	-68.925	4.375	Orinoquia oriental	VICHADA	CUMARIBO	75.9	59.8	22.2	40.6	38.3	41
16576	-68.875	4.375	Orinoquia oriental	VICHADA	CUMARIBO	75.5	57.9	24.4	37.3	25.9	41.4
16577	-68.825	4.375	Orinoquia oriental	VICHADA	CUMARIBO	76.2	58.5	27.9	33.3	27.9	32.6
16578	-68.775	4.375	Orinoquia oriental	VICHADA	CUMARIBO	72.7	55.4	25.7	30.7	30.3	28.9
16579	-68.725	4.375	Orinoquia oriental	VICHADA	CUMARIBO	73.3	49.1	24.6	24.5	31.5	27.1
16580	-68.675	4.375	Orinoquia oriental	VICHADA	CUMARIBO	75	47	27.5	21.5	31.6	26.6
16581	-68.625	4.375	Orinoquia oriental	VICHADA	CUMARIBO	75.4	47.1	31	17.3	30	25.9
16582	-68.575	4.375	Orinoquia oriental	VICHADA	CUMARIBO	74.9	49.6	32	17.5	35.1	17.9
16583	-68.525	4.375	Orinoquia oriental	VICHADA	CUMARIBO	77.9	50.8	34.5	16.3	33.1	15.9
16584	-68.475	4.375	Orinoquia oriental	VICHADA	CUMARIBO	76	48.1	30.7	19.8	33.2	24
16585	-68.425	4.375	Orinoquia oriental	VICHADA	CUMARIBO	78.4	48.1	31.4	20.6	33.2	25
16586	-68.375	4.375	Orinoquia oriental	VICHADA	CUMARIBO	71.7	44.2	31.9	18.6	31.8	27.2
16587	-68.325	4.375	Orinoquia oriental	VICHADA	CUMARIBO	73.2	43.8	31.3	17.4	32.9	19.5
