ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
3970	-75.575	8.375	Sinú - San Jorge - Porce	CÓRDOBA	PLANETA RICA	14.2	10.8	30.2	35.6	19.1	23.2
3971	-75.525	8.375	Sinú - San Jorge - Porce	CÓRDOBA	PLANETA RICA	18.5	10.9	27.2	35.3	19.1	24.6
3972	-75.475	8.375	Sinú - San Jorge - Porce	CÓRDOBA	PLANETA RICA	17.5	10.6	28	32.2	16.2	28.6
3973	-75.425	8.375	Sinú - San Jorge - Porce	CÓRDOBA	PLANETA RICA	16.7	10.9	26.9	29.5	15.7	28.5
3974	-75.375	8.375	Sinú - San Jorge - Porce	CÓRDOBA	PLANETA RICA	14.6	10.8	29	33.4	14.2	29.1
3975	-75.325	8.375	Sinú - San Jorge - Porce	CÓRDOBA	PUEBLO NUEVO	13.4	9.7	32.3	32.5	12.4	27.5
3976	-75.275	8.375	Sinú - San Jorge - Porce	CÓRDOBA	PUEBLO NUEVO	13.3	10.1	31.8	34.8	11.3	30.1
3977	-75.225	8.375	Sinú - San Jorge - Porce	CÓRDOBA	PUEBLO NUEVO	13.3	10.1	35.1	33.5	9.5	28.2
3978	-75.175	8.375	Sinú - San Jorge - Porce	CÓRDOBA	AYAPEL	14.3	9.4	36.1	35.7	10.2	29
3979	-75.125	8.375	Sinú - San Jorge - Porce	CÓRDOBA	AYAPEL	12.5	10.1	35.9	39.2	10	27.4
3980	-75.075	8.375	Sinú - San Jorge - Porce	CÓRDOBA	AYAPEL	12.3	9.7	36	33.5	9.9	27.9
3981	-75.025	8.375	Sinú - San Jorge - Porce	CÓRDOBA	AYAPEL	14.8	10	40.8	30.2	9.6	35.9
3982	-74.975	8.375	Sinú - San Jorge - Porce	CÓRDOBA	AYAPEL	14.4	10	38.9	28.7	8	36.2
3983	-74.925	8.375	Sinú - San Jorge - Porce	CÓRDOBA	AYAPEL	13.9	10.6	42.4	30.9	8.3	36.4
3984	-74.875	8.375	Sinú - San Jorge - Porce	CÓRDOBA	AYAPEL	14.5	11.7	43.8	29.9	10.6	37.4
