ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
3855	-76.675	8.425	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	14.9	13.7	23	20	27.6	13.7
3856	-76.625	8.425	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	15.2	13.3	27.1	20.1	28.7	31.2
3857	-76.575	8.425	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	15	12.1	28.5	17.7	20.9	29.2
3858	-76.525	8.425	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	13.6	10.5	22.9	22.3	19.7	16.5
3859	-76.475	8.425	Sinú - San Jorge - Porce	ANTIOQUIA	NECOCLÍ	12.8	9	19	19.5	15.4	15.5
3860	-76.425	8.425	Sinú - San Jorge - Porce	ANTIOQUIA	SAN PEDRO DE URABÁ	10.7	9	19	26.2	12.9	16.5
3861	-76.375	8.425	Sinú - San Jorge - Porce	ANTIOQUIA	SAN PEDRO DE URABÁ	9.7	10.8	16.3	15.3	13.5	18.3
3862	-76.325	8.425	Sinú - San Jorge - Porce	ANTIOQUIA	SAN PEDRO DE URABÁ	12.5	12.5	15.6	17	11.1	14.8
3863	-76.275	8.425	Sinú - San Jorge - Porce	ANTIOQUIA	SAN PEDRO DE URABÁ	12.3	9.8	16.7	17.5	14.1	15.5
3864	-76.225	8.425	Sinú - San Jorge - Porce	ANTIOQUIA	SAN PEDRO DE URABÁ	11.6	9.6	17.3	33	16.8	20
3865	-76.175	8.425	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	11.6	14.4	14	26	13.8	22.4
3866	-76.125	8.425	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	11.6	13.8	11.2	31.3	13.5	23.2
3867	-76.075	8.425	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	14.1	10.8	9.8	39.5	15.8	22.9
3868	-76.025	8.425	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	13.9	9.9	9.8	43.7	15.8	23.7
3869	-75.975	8.425	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	15	9.2	8.3	39.9	21.7	25.9
3870	-75.925	8.425	Sinú - San Jorge - Porce	CÓRDOBA	MONTERÍA	12.5	10.8	8.8	42.5	18.3	28.2
