ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	2025-2	2025-3	2025-4	2025-5	2025-6	2025-7
30700	-73.325	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	2	3	1
30701	-73.275	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	2	3	1
30702	-73.225	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	2	3	1
30703	-73.175	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	2	1	1
30704	-73.125	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	3	1	1
30705	-73.075	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	3	1	1
30706	-73.025	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	3	1	1
30707	-72.975	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	3	1	1
30708	-72.925	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	1	1	1
30709	-72.875	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	3	3	1
30710	-72.825	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	1	1	1
30711	-72.775	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	1	1	1
30712	-72.725	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	1	3	1
30713	-72.675	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	2	1	1
30714	-72.625	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	3	1	1
30715	-72.575	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	1	1	1
30716	-72.525	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	1	1	1
30717	-72.475	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	1	1	1
30718	-72.425	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	1	1	1
30719	-72.375	0.875	Norte Amazonia	CAQUETÁ	SOLANO	3	1	1	1	1	1
30720	-72.325	0.875	Norte Amazonia	GUAVIARE	MIRAFLORES	3	1	1	1	1	1
30721	-72.275	0.875	Norte Amazonia	GUAVIARE	MIRAFLORES	3	1	1	1	1	1
30722	-72.225	0.875	Norte Amazonia	GUAVIARE	MIRAFLORES	3	1	1	1	1	1
30723	-72.175	0.875	Norte Amazonia	GUAVIARE	MIRAFLORES	3	1	1	1	1	1
30724	-72.125	0.875	Norte Amazonia	GUAVIARE	MIRAFLORES	3	1	1	1	1	1
30725	-72.075	0.875	Norte Amazonia	GUAVIARE	MIRAFLORES	3	1	1	1	3	1
30726	-72.025	0.875	Norte Amazonia	GUAVIARE	MIRAFLORES	3	1	1	1	3	1
30727	-71.975	0.875	Norte Amazonia	GUAVIARE	MIRAFLORES	3	1	1	1	1	1
30728	-71.925	0.875	Norte Amazonia	GUAVIARE	MIRAFLORES	3	1	1	1	1	1
30729	-71.875	0.875	Norte Amazonia	GUAVIARE	MIRAFLORES	3	1	1	1	1	1
30730	-71.825	0.875	Norte Amazonia	GUAVIARE	MIRAFLORES	3	1	1	1	1	1
30731	-71.775	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30732	-71.725	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30733	-71.675	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30734	-71.625	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30735	-71.575	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30736	-71.525	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30737	-71.475	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30738	-71.425	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30739	-71.375	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30740	-71.325	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30741	-71.275	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30742	-71.225	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30743	-71.175	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30744	-71.125	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30745	-71.075	0.875	Norte Amazonia	VAUPÉS	CARURÚ	3	1	1	1	1	1
30746	-71.025	0.875	Norte Amazonia	VAUPÉS	MITÚ	3	1	1	1	1	1
30747	-70.975	0.875	Norte Amazonia	VAUPÉS	MITÚ	3	1	1	1	1	1
30748	-70.925	0.875	Norte Amazonia	VAUPÉS	MITÚ	3	1	1	1	1	1
30749	-70.875	0.875	Norte Amazonia	VAUPÉS	MITÚ	3	1	1	1	1	1
30750	-70.825	0.875	Norte Amazonia	VAUPÉS	MITÚ	3	1	1	1	1	1
30751	-70.775	0.875	Norte Amazonia	VAUPÉS	MITÚ	3	1	1	1	1	1
